date,temperature,humidity,luminosity
2022-11-17 15:23:15.459,25.0,10.7,57
2022-11-17 15:23:13.815,25.0,10.8,56
2022-11-17 15:23:12.171,25.0,10.8,57
2022-11-17 15:23:10.529,24.9,10.8,57
2022-11-17 15:23:08.885,25.0,10.8,57
2022-11-17 15:23:07.242,24.9,10.8,56
2022-11-17 15:23:05.599,25.0,10.7,56
2022-11-17 15:23:03.956,25.0,10.6,56
2022-11-17 15:23:02.312,25.0,10.8,56
2022-11-17 15:23:00.669,25.0,10.8,56
2022-11-17 15:22:59.025,25.0,10.6,56
2022-11-17 15:22:57.381,25.0,10.7,56
2022-11-17 15:22:55.739,25.0,10.8,56
2022-11-17 15:22:54.096,25.0,10.7,56
2022-11-17 15:22:52.453,25.0,10.8,55
2022-11-17 15:22:50.809,25.0,10.6,53
2022-11-17 15:22:49.165,25.0,10.9,54
2022-11-17 15:22:47.522,25.0,10.7,54
2022-11-17 15:22:45.878,24.9,10.9,54
2022-11-17 15:22:44.235,25.0,10.6,54
2022-11-17 15:22:42.593,25.0,10.6,54
2022-11-17 15:22:40.950,25.0,10.7,54
2022-11-17 15:22:39.306,25.0,10.7,54
2022-11-17 15:22:37.662,25.0,10.8,55
2022-11-17 15:22:36.019,25.0,10.8,55
2022-11-17 15:22:34.376,25.0,10.6,55
2022-11-17 15:22:32.734,25.0,10.6,55
2022-11-17 15:22:31.090,25.0,10.6,55
2022-11-17 15:22:29.447,25.0,10.6,55
2022-11-17 15:22:27.804,25.0,10.5,55
2022-11-17 15:22:26.161,25.0,10.5,55
2022-11-17 15:22:24.518,25.0,10.6,54
2022-11-17 15:22:22.874,25.0,10.8,55
2022-11-17 15:22:21.231,25.0,10.7,55
2022-11-17 15:22:19.589,25.0,10.5,55
2022-11-17 15:22:17.947,25.0,10.4,55
2022-11-17 15:22:16.303,25.0,10.3,55
2022-11-17 15:22:14.659,25.0,10.5,54
2022-11-17 15:22:13.016,25.0,10.5,54
2022-11-17 15:22:11.373,25.0,10.3,54
2022-11-17 15:22:09.730,25.0,10.4,54
2022-11-17 15:22:08.087,25.0,10.3,54
2022-11-17 15:22:06.444,25.0,10.4,54
2022-11-17 15:22:04.801,25.0,10.4,54
2022-11-17 15:22:03.159,25.0,10.3,55
2022-11-17 15:22:01.515,25.0,10.4,54
2022-11-17 15:21:59.873,24.9,10.5,54
2022-11-17 15:21:58.229,25.0,10.5,52
2022-11-17 15:21:56.586,25.0,10.4,53
2022-11-17 15:21:54.943,24.9,10.4,53
2022-11-17 15:21:53.300,24.9,10.3,53
2022-11-17 15:21:51.658,25.0,10.4,53
2022-11-17 15:21:50.013,25.0,10.4,54
2022-11-17 15:21:48.370,25.0,10.2,54
2022-11-17 15:21:46.727,25.0,10.3,53
2022-11-17 15:21:45.082,25.0,10.3,53
2022-11-17 15:21:43.439,25.0,10.2,53
2022-11-17 15:21:41.795,25.0,10.2,53
2022-11-17 15:21:40.152,24.9,10.2,53
